signup_date,city,business_service,customer_rating,last_service_use_date,phone,extra_cost_pct,weekday_pct,avg_use_of_service,avg_extra_cost,service_rating,use_of_service_in_first_30_days,recency,predicted_values,probs
16077,W,1,5,2014-01-28,iPhone,0,100,2.42,1,5,1,154,0,[ 1.  0.]
16088,W,0,5,2014-06-13,Android,0,100,1.89,1,5,0,18,1,[  1.42234559e-13   1.00000000e+00]
16071,K,1,5,2014-06-15,iPhone,0,0,4.44,1,5,0,16,1,[  2.10277157e-10   1.00000000e+00]
16088,A,1,4.8,2014-06-17,iPhone,10.5,63.2,2.61,1.09,3.9,5,14,1,[  2.79708250e-13   1.00000000e+00]
16078,A,0,5,2014-04-23,iPhone,0,100,4.46,1,5,0,69,0,[  1.00000000e+00   5.52921643e-20]
16071,A,0,5,2014-01-01,Android,0,100,1.02,1,5,1,181,0,[ 1.  0.]
16077,A,0,3,2014-01-08,iPhone,0,100,0,1,5,1,174,0,[ 1.  0.]
16089,A,0,5,2014-01-25,iPhone,0,0,37.11,1,5,2,157,0,[ 1.  0.]
16094,K,0,4.9,2014-06-10,iPhone,36,84,2.3,1.35,5,7,21,1,[  1.26514924e-10   1.00000000e+00]
16091,W,0,4,2014-04-27,Android,0,0,1.45,1,5,0,65,0,[  1.00000000e+00   2.00692587e-18]
16096,A,0,5,2014-01-30,iPhone,0,100,2.47,1,4.8,5,152,0,[ 1.  0.]
16093,W,0,4,2014-04-20,iPhone,0,0,1.82,1,5,1,72,0,[  1.00000000e+00   2.91591169e-23]
16093,A,1,5,2014-06-01,Android,0,66.7,10.49,1,5,0,30,1,[ 0.01647981  0.98352021]
16082,A,0,5,2014-05-03,iPhone,25,50,3.99,1.5,4,0,59,0,[  1.00000000e+00   3.77993643e-13]
16095,W,1,4,2014-02-05,Android,100,100,17.89,3.5,4,1,146,0,[ 1.  0.]
16076,W,1,4.8,2014-06-20,iPhone,18.2,81.8,4.61,1.11,4,1,11,1,[  9.05070057e-16   1.00000000e+00]
16073,K,0,4.7,2014-06-29,iPhone,5.3,63.2,2.6,1.03,4.8,7,2,1,[  1.39423958e-20   1.00000000e+00]
16079,A,1,5,2014-06-30,iPhone,0,100,5.01,1,4,0,1,1,[  7.07865480e-24   1.00000000e+00]
16097,W,0,4.8,2014-04-28,iPhone,0,100,2.42,1,5,4,64,0,[  1.00000000e+00   3.92770667e-18]
16090,K,1,4.9,2014-05-25,iPhone,25,66.7,3.55,1.17,4.7,9,37,0,[  9.99979138e-01   2.08787824e-05]
16093,W,1,4.7,2014-07-01,iPhone,0,67.6,3.06,1,5,6,0,1,[  2.60680765e-22   1.00000000e+00]
16075,K,0,4.8,2014-06-29,iPhone,0,42.9,3.3,1,5,3,2,1,[  5.08319599e-19   1.00000000e+00]
16089,A,1,5,2014-05-18,iPhone,0,0,4.67,1,5,0,44,0,[  9.99994993e-01   5.06206834e-06]
16088,A,1,5,2014-06-26,Android,0,50,10.83,1,5,3,5,1,[  1.09865277e-17   1.00000000e+00]
16072,W,0,4.5,2014-06-27,iPhone,0,55.2,1.55,1,3.7,7,4,1,[  1.62401238e-18   1.00000000e+00]
16075,W,0,4.4,2014-05-28,Android,0,80,1.13,1,4,5,34,0,[  9.99710262e-01   2.89687596e-04]
16087,A,1,4,2014-01-18,iPhone,0,0,23.34,1,1,1,164,0,[ 1.  0.]
16096,W,1,4.6,2014-07-01,iPhone,1.9,76.9,4.89,1,4.1,11,0,1,[  3.84126604e-23   1.00000000e+00]
16077,A,1,5,2014-01-11,Android,0,75,5.36,1,5,4,171,0,[ 1.  0.]
16088,K,0,5,2014-06-19,iPhone,10,90,4.2,1.02,4.3,1,12,1,[  1.35586417e-16   1.00000000e+00]
16097,A,1,4.9,2014-03-05,Android,0,89.7,2.86,1,4.9,73,118,0,[ 1.  0.]
16088,A,0,5,2014-05-25,Android,16.7,33.3,6.08,1.17,5,1,37,0,[  9.99707758e-01   2.92172830e-04]
16101,K,1,4.9,2014-06-25,iPhone,0,50,2.15,1,4.2,8,6,1,[  1.26063550e-17   1.00000000e+00]
16100,W,1,4.9,2014-06-22,iPhone,0,50,6.86,1,4.4,2,9,1,[  1.76695160e-15   1.00000000e+00]
16071,W,1,4.9,2014-06-28,iPhone,0,63.6,4.08,1,3,3,3,1,[  9.56139492e-20   1.00000000e+00]
16090,W,0,5,2014-06-23,Android,0,0,4.99,1,5,0,8,1,[  4.80204662e-15   1.00000000e+00]
16077,K,0,4.9,2014-06-29,iPhone,15.9,50,10.79,1.09,4.9,14,2,1,[  4.61791284e-20   1.00000000e+00]
16073,A,0,5,2014-01-08,iPhone,0,100,9.14,1,3,1,174,0,[ 1.  0.]
16095,A,1,5,2014-06-11,iPhone,0,50,5.25,1,5,2,20,1,[  6.37313480e-10   1.00000000e+00]
16079,K,1,5,2014-06-17,iPhone,0,100,3.81,1,4.7,1,14,1,[  6.96696841e-17   1.00000000e+00]
16079,A,1,5,2014-06-29,iPhone,0,36.4,2.65,1,4.8,1,2,1,[  2.67740084e-18   1.00000000e+00]
16071,W,0,3.7,2014-03-29,Android,0,33.3,10.29,1,5,1,94,0,[  1.00000000e+00   3.25420881e-33]
16078,W,0,4.7,2014-06-28,Android,9.1,63.6,12.32,1.05,4.4,1,3,1,[  5.58403369e-19   1.00000000e+00]
16077,A,0,4.3,2014-04-09,iPhone,0,100,1.16,1,4,0,83,0,[  1.00000000e+00   1.89610746e-26]
16080,W,0,5,2014-01-11,Android,0,100,0,1,5,1,171,0,[ 1.  0.]
16080,A,0,5,2014-04-17,iPhone,50,100,2.64,1.63,2.5,1,75,0,[  1.00000000e+00   5.41658100e-22]
16084,W,1,5,2014-06-10,iPhone,0,85.7,16.85,1,5,0,21,1,[  2.26381094e-10   1.00000000e+00]
16085,A,1,4.9,2014-05-23,Android,11.1,88.9,2.67,1.06,4.3,3,39,0,[  9.99999046e-01   9.59171643e-07]
16077,W,1,4.8,2014-06-15,iPhone,0,41.2,5.55,1,4.9,2,16,1,[  2.39953005e-11   1.00000000e+00]
16087,K,0,5,2014-06-23,iPhone,0,0,1.58,1,5,0,8,1,[  7.57522656e-15   1.00000000e+00]
16095,A,1,5,2014-04-03,Android,0,33.3,1.78,1,5,0,89,0,[  1.00000000e+00   2.39261632e-29]
16091,W,1,4.8,2014-06-05,iPhone,0,100,6.1,1,5,0,26,1,[  6.64053687e-07   9.99999285e-01]
16080,W,1,4.6,2014-03-16,iPhone,20,90,8.14,1.32,4.4,0,107,0,[  1.00000000e+00   2.21162726e-36]
16086,A,0,4.5,2014-01-17,Android,0,100,6.04,1,5,2,165,0,[ 1.  0.]
16089,W,1,5,2014-06-28,Android,50,0,2.92,1.38,4,2,3,1,[  6.07805658e-20   1.00000000e+00]
16096,A,0,4.3,2014-04-20,iPhone,20,20,2.81,1.3,4.8,0,72,0,[  1.00000000e+00   1.90503909e-19]
16081,W,0,5,2014-01-12,iPhone,0,0,2,1,5,3,170,0,[ 1.  0.]
16101,A,1,5,2014-05-25,Android,0,0,7.4,1,4.5,0,37,0,[ 0.99823558  0.00176436]
16082,A,0,4,2014-03-27,Android,0,100,1.2,1,5,0,96,0,[  1.00000000e+00   3.04418889e-32]
16095,K,1,5,2014-06-06,iPhone,0,100,2.64,1,5,0,25,1,[  1.57898334e-08   1.00000000e+00]
16080,W,1,4.8,2014-06-30,iPhone,25,37.5,3.33,1.06,3.8,2,1,1,[  2.53388748e-18   1.00000000e+00]
16089,W,0,4.5,2014-06-28,iPhone,0,43.8,3.22,1,4.9,4,3,1,[  3.06884731e-18   1.00000000e+00]
16072,W,0,5,2014-01-03,iPhone,0,100,13.78,1,5,1,179,0,[ 1.  0.]
16088,K,1,4.6,2014-06-13,iPhone,0,45.5,10.47,1,4.4,4,18,1,[  1.35238667e-10   1.00000000e+00]
16088,K,1,5,2014-06-08,iPhone,0,16.7,2.27,1,5,2,23,1,[  6.64847050e-07   9.99999285e-01]
16071,W,0,4.7,2014-05-25,Android,8.3,41.7,1.68,1.06,3.8,3,37,0,[  9.99970198e-01   2.98127507e-05]
16096,K,1,4.8,2014-06-25,iPhone,10,10,3.57,1.1,4.5,1,6,1,[  3.88174617e-15   1.00000000e+00]
16087,K,0,4.8,2014-06-23,iPhone,0,40,11.63,1,5,2,8,1,[  1.93268228e-15   1.00000000e+00]
16086,W,1,5,2014-06-21,iPhone,0,100,0.95,1,5,0,10,1,[  8.63915859e-19   1.00000000e+00]
16074,K,1,4.7,2014-06-24,iPhone,2.3,57.5,4.86,1.03,5,11,7,1,[  7.43172977e-18   1.00000000e+00]
16084,W,1,5,2014-03-28,iPhone,0,100,4.97,1,5,0,95,0,[  1.00000000e+00   1.56339056e-31]
16095,W,0,4.6,2014-07-01,iPhone,3.8,57.7,5.44,1.09,3.7,7,0,1,[  7.53022901e-21   1.00000000e+00]
16080,A,1,5,2014-06-29,iPhone,21.4,28.6,3.42,1.21,4.8,0,2,1,[  2.35581518e-17   1.00000000e+00]
16075,K,0,4.8,2014-06-16,iPhone,22.9,62.9,1.64,1.14,4.5,10,15,1,[  3.72553117e-13   1.00000000e+00]
16088,W,0,4.7,2014-06-28,iPhone,33.3,66.7,4.43,1.17,5,0,3,1,[  1.15857688e-18   1.00000000e+00]
16101,W,1,5,2014-05-24,iPhone,0,0,4.01,1,5,0,38,0,[  9.99517679e-01   4.82331787e-04]
16091,W,1,4.4,2014-04-10,iPhone,0,50,2.1,1,4,2,82,0,[  1.00000000e+00   3.11991006e-26]
16094,W,1,5,2014-01-25,iPhone,0,50,7.63,1,5,2,157,0,[ 1.  0.]
16101,W,0,4.5,2014-02-02,iPhone,0,0,1.89,1,4.5,4,149,0,[ 1.  0.]
16096,W,0,5,2014-01-27,Android,0,100,3.18,1,4,1,155,0,[ 1.  0.]
16090,W,0,5,2014-05-18,Android,0,20,3.72,1,5,1,44,0,[  9.99998689e-01   1.34621109e-06]
16081,A,0,4.7,2014-03-28,iPhone,0,100,3.8,1,5,0,95,0,[  1.00000000e+00   2.01581294e-31]
16082,A,0,5,2014-01-19,Android,0,0,18.03,1,5,1,163,0,[ 1.  0.]
16084,A,1,4.7,2014-06-01,iPhone,0,30,2.92,1,5,1,30,1,[ 0.05110667  0.94889331]
16082,K,1,4.7,2014-06-25,iPhone,0,42.9,2.03,1,4.9,0,6,1,[  1.41627416e-16   1.00000000e+00]
16074,A,0,5,2014-01-04,iPhone,0,0,12.6,1,5,1,178,0,[ 1.  0.]
16101,K,1,5,2014-06-20,iPhone,0,42.9,2.86,1,5,2,11,1,[  4.18026480e-14   1.00000000e+00]
16075,K,1,5,2014-06-28,Android,0,100,18.57,1,5,5,3,1,[  1.34687934e-23   1.00000000e+00]
16081,A,0,3.5,2014-01-12,iPhone,100,0,1.5,1.63,5,2,170,0,[ 1.  0.]
16090,W,0,5,2014-02-22,Android,0,100,1.73,1,5,0,129,0,[ 1.  0.]
16100,A,0,3.5,2014-01-31,Android,0,100,3.37,1,5,2,151,0,[ 1.  0.]
16094,W,1,5,2014-03-14,iPhone,0,100,2.11,1,1,0,109,0,[ 1.  0.]
16084,W,0,5,2014-01-15,iPhone,0,100,2.2,1,4,1,167,0,[ 1.  0.]
16101,W,0,5,2014-04-06,Android,0,50,3.88,1,5,1,86,0,[  1.00000000e+00   4.48908771e-27]
16077,A,0,5,2014-01-15,Android,0,100,9.77,1,2,1,167,0,[ 1.  0.]
16095,A,1,5,2014-04-06,Android,0,0,1.75,1,4.5,3,86,0,[  1.00000000e+00   1.54222038e-31]
16087,K,0,5,2014-01-18,iPhone,100,100,3.56,1.25,4,1,164,0,[ 1.  0.]
16075,K,0,5,2014-04-19,iPhone,0,75,14.37,1,5,0,73,0,[  1.00000000e+00   2.39478097e-21]
16100,A,0,2,2014-02-25,iPhone,0,100,4.46,1,4,1,126,0,[ 1.  0.]
16085,A,0,5,2014-01-27,iPhone,0,100,12.52,1,4,1,155,0,[ 1.  0.]
16072,A,0,4.6,2014-06-13,iPhone,3.5,69,4.2,1.02,3.9,2,18,1,[  3.33852251e-11   1.00000000e+00]
16098,W,1,4,2014-03-17,Android,0,0,2.74,1,3,1,106,0,[ 1.  0.]
16074,K,0,5,2014-01-05,iPhone,0,0,7.54,1,5,1,177,0,[ 1.  0.]
16085,W,1,5,2014-05-25,iPhone,0,75,10.16,1,5,0,37,0,[  9.99978304e-01   2.16751450e-05]
16071,K,0,3.8,2014-06-08,iPhone,20,20,3.15,1.05,5,1,23,1,[  4.94866026e-06   9.99994993e-01]
16089,W,0,5,2014-01-19,iPhone,0,0,4.54,1,5,1,163,0,[ 1.  0.]
16081,W,1,5,2014-06-23,iPhone,0,33.3,8.91,1,5,2,8,1,[  4.87908215e-15   1.00000000e+00]
16093,W,0,4,2014-05-17,Android,50,75,10.37,1.25,4,0,45,0,[  1.00000000e+00   2.75104467e-10]
16095,W,1,4.5,2014-06-25,iPhone,0,20,4.42,1,4.5,3,6,1,[  1.80557206e-15   1.00000000e+00]
16082,W,0,3,2014-01-16,iPhone,0,100,5.99,1,5,4,166,0,[ 1.  0.]
16079,K,1,5,2014-06-21,iPhone,14.3,42.9,1.78,1.04,5,0,10,1,[  7.98381137e-14   1.00000000e+00]
16099,W,0,5,2014-02-21,iPhone,0,100,1.27,1,5,1,130,0,[ 1.  0.]
16097,W,1,4.8,2014-06-11,iPhone,0,62.5,8,1,4,3,20,1,[  4.05677159e-10   1.00000000e+00]
16078,W,0,5,2014-03-02,iPhone,66.7,33.3,3.75,2.25,3.7,0,121,0,[ 1.  0.]
16096,W,0,4,2014-03-03,iPhone,50,0,1.38,2,5,1,120,0,[ 1.  0.]
16086,W,0,5,2014-05-16,iPhone,0,100,4.58,1,5,0,46,0,[  1.00000000e+00   5.52974055e-10]
16081,W,1,4.6,2014-06-29,iPhone,2.7,83.8,2.34,1.02,4.6,22,2,1,[  4.81020164e-24   1.00000000e+00]
16087,K,0,5,2014-06-27,iPhone,0,100,27.32,1,5,1,4,1,[  1.02272314e-22   1.00000000e+00]
16097,W,0,4.5,2014-05-20,iPhone,0,57.1,2.5,1,4.6,2,42,0,[  9.99999762e-01   1.80747080e-07]
16082,K,1,5,2014-06-29,iPhone,26.1,52.2,6.87,1.2,4.5,2,2,1,[  7.53038036e-19   1.00000000e+00]
16076,W,0,5,2014-05-12,iPhone,0,66.7,5.28,1,5,0,50,0,[  1.00000000e+00   1.73879910e-10]
16079,A,1,5,2014-05-27,iPhone,0,100,2.09,1,5,0,35,0,[  9.99841571e-01   1.58435156e-04]
16092,W,0,5,2014-06-18,iPhone,0,100,3.69,1,5,0,13,1,[  3.90543235e-17   1.00000000e+00]
16089,A,0,5,2014-01-26,Android,0,0,2.52,1,5,3,156,0,[ 1.  0.]
16076,A,0,5,2014-05-09,Android,0,100,11.78,1,5,0,53,0,[  1.00000000e+00   8.85188786e-13]
16084,W,0,3,2014-05-14,iPhone,0,100,16.88,1,5,0,48,0,[  1.00000000e+00   8.85795604e-12]
16087,K,0,5,2014-06-29,iPhone,0,0,2.34,1,5,0,2,1,[  1.14305401e-18   1.00000000e+00]
16080,W,0,3,2014-02-10,iPhone,0,100,0.89,1,5,0,141,0,[ 1.  0.]
16088,W,0,5,2014-01-19,Android,0,0,3.07,1,5,1,163,0,[ 1.  0.]
16088,A,0,4.9,2014-06-20,iPhone,7.1,57.1,3.81,1.04,4.3,7,11,1,[  9.71799376e-15   1.00000000e+00]
16081,K,0,4.5,2014-06-27,Android,50,50,2.7,1.5,4.5,0,4,1,[  1.74332913e-17   1.00000000e+00]
16076,W,1,4.3,2014-06-28,iPhone,0,72.2,2.66,1,4.7,8,3,1,[  7.03653224e-21   1.00000000e+00]
16090,W,0,5,2014-02-16,Android,100,0,2.6,1.75,5,1,135,0,[ 1.  0.]
16089,W,0,4.8,2014-06-29,iPhone,7.7,0,2.34,1.04,4.9,6,2,1,[  5.18847798e-19   1.00000000e+00]
16095,W,1,5,2014-05-18,Android,25,25,10.61,1.13,4.3,1,44,0,[  9.99999285e-01   7.13894622e-07]
16088,W,0,5,2014-06-29,Android,0,40,1.69,1,4.6,0,2,1,[  2.02554653e-18   1.00000000e+00]
16094,A,1,4.9,2014-06-28,iPhone,0,39.1,5.04,1,4.8,3,3,1,[  5.23208736e-18   1.00000000e+00]
16094,K,0,5,2014-06-28,iPhone,0,100,6.8,1,5,0,3,1,[  2.88079728e-23   1.00000000e+00]
16076,W,1,5,2014-05-22,iPhone,0,100,17.87,1,5,0,40,0,[  9.99999642e-01   3.22760229e-07]
16088,A,1,5,2014-05-17,Android,0,0,24.43,1,5,1,45,0,[  9.99998689e-01   1.32610114e-06]
16095,K,0,4.7,2014-06-30,iPhone,4.9,46.3,2.69,1.04,5,2,1,1,[  2.10599305e-19   1.00000000e+00]
16076,W,1,2,2014-01-06,iPhone,0,100,18.61,1,1,1,176,0,[ 1.  0.]
16089,W,1,4.3,2014-06-29,iPhone,0,45.5,7.17,1,5,4,2,1,[  6.93138631e-19   1.00000000e+00]
16075,W,0,5,2014-04-30,Android,0,100,12.96,1,5,0,62,0,[  1.00000000e+00   6.08066292e-17]
16071,W,1,5,2014-06-29,Android,0,42.9,1.62,1,4,0,2,1,[  1.59101635e-18   1.00000000e+00]
16094,A,0,5,2014-04-16,iPhone,0,100,7.6,1,4.5,1,76,0,[  1.00000000e+00   3.36165218e-23]
16096,K,0,4.8,2014-06-28,iPhone,18.2,45.5,1.53,1.09,5,6,3,1,[  6.32471892e-18   1.00000000e+00]
16096,A,0,4.3,2014-06-21,iPhone,0,33.3,16.19,1,5,2,10,1,[  1.31889156e-13   1.00000000e+00]
16080,A,0,5,2014-05-26,iPhone,0,100,3.28,1,5,0,36,0,[  9.99969840e-01   3.01521686e-05]
16095,A,1,4.9,2014-06-26,iPhone,0,87.5,6.46,1,4.4,5,5,1,[  3.23714245e-21   1.00000000e+00]
16071,W,0,4.3,2014-05-18,iPhone,25,25,5.05,1.13,5,0,44,0,[  9.99999523e-01   4.74389623e-07]
16092,A,1,4.8,2014-05-16,iPhone,16.7,83.3,13.83,1.08,4.5,2,46,0,[  1.00000000e+00   6.62686017e-10]
16078,A,0,5,2014-01-09,Android,0,100,3.42,1,4,1,173,0,[ 1.  0.]
16100,W,0,5,2014-05-04,iPhone,50,50,3.04,1.38,5,0,58,0,[  1.00000000e+00   3.25227475e-13]
16096,W,0,5,2014-06-21,iPhone,0,50,19.07,1,4.5,1,10,1,[  4.17951340e-15   1.00000000e+00]
16078,K,0,5,2014-01-09,Android,0,100,1.13,1,5,2,173,0,[ 1.  0.]
16096,W,0,5,2014-03-03,iPhone,0,100,8.09,1,5,2,120,0,[ 1.  0.]
16087,A,0,5,2014-01-18,iPhone,0,0,10.73,1,5,1,164,0,[ 1.  0.]
16073,W,0,5,2014-04-24,iPhone,0,100,17.63,1,5,0,68,0,[  1.00000000e+00   8.27005871e-20]
16080,W,1,3,2014-01-11,Android,0,100,6.2,1,3,1,171,0,[ 1.  0.]
16089,A,1,4.9,2014-05-19,iPhone,0,45.5,4.56,1,2.7,0,43,0,[  9.99999523e-01   4.25088871e-07]
16087,W,1,4.3,2014-06-23,iPhone,0,45.5,2.99,1,4.2,4,8,1,[  2.51475739e-15   1.00000000e+00]
16080,W,0,5,2014-06-26,iPhone,0,87.5,3.56,1,5,2,5,1,[  4.86505389e-21   1.00000000e+00]
16081,W,1,5,2014-06-11,iPhone,0,100,1.59,1,5,0,20,1,[  2.48365326e-12   1.00000000e+00]
16078,W,0,5,2014-01-09,iPhone,0,100,0.68,1,4,2,173,0,[ 1.  0.]
16101,K,1,5,2014-02-10,Android,0,66.7,9.15,1,4.3,3,141,0,[ 1.  0.]
16071,A,0,5,2014-04-06,iPhone,0,44.4,5.76,1,4.5,5,86,0,[  1.00000000e+00   7.82640874e-28]
16088,W,1,4.7,2014-06-27,iPhone,0,55.6,3.19,1,4.6,5,4,1,[  8.12819361e-19   1.00000000e+00]
16086,W,1,4.7,2014-01-17,Android,0,100,0.7,1,4,3,165,0,[ 1.  0.]
16094,W,0,5,2014-05-11,iPhone,25,0,7.69,1.25,5,0,51,0,[  1.00000000e+00   1.93606873e-08]
16095,W,1,4.5,2014-06-22,iPhone,0,37.5,1.86,1,5,0,9,1,[  3.55975591e-14   1.00000000e+00]
16101,A,1,5,2014-03-06,iPhone,0,100,5.82,1,5,0,117,0,[ 1.  0.]
16088,K,0,5,2014-06-22,iPhone,12.5,50,3.84,1.09,5,3,9,1,[  3.95658576e-15   1.00000000e+00]
16075,W,0,5,2014-01-06,iPhone,0,100,1.17,1,5,1,176,0,[ 1.  0.]
16101,W,1,5,2014-05-24,Android,15.4,69.2,4.14,1.1,4.6,5,38,0,[  9.99995589e-01   4.37999324e-06]
16073,A,1,5,2014-03-28,Android,0,100,3.23,1,5,0,95,0,[  1.00000000e+00   2.91134286e-31]
16100,A,0,4.8,2014-06-08,iPhone,0,0,3.29,1,5,0,23,1,[  9.61540081e-07   9.99999046e-01]
16089,K,1,4.3,2014-06-29,iPhone,42.9,14.3,2.51,1.21,4.5,2,2,1,[  8.03797251e-19   1.00000000e+00]
16088,K,0,5,2014-05-10,iPhone,17.6,76.5,1.83,1.19,3.8,3,52,0,[  1.00000000e+00   4.61294891e-12]
16091,A,0,5,2014-02-10,iPhone,16.7,33.3,1.88,1.08,4.8,6,141,0,[ 1.  0.]
16080,A,0,4.5,2014-01-13,iPhone,25,25,3.34,1.13,4,4,169,0,[ 1.  0.]
16085,A,1,4.8,2014-06-18,iPhone,14.8,44.4,7.81,1.12,4.9,1,13,1,[  1.77211826e-12   1.00000000e+00]
16100,A,1,4.7,2014-06-09,iPhone,0,78.6,3.3,1,3.7,7,22,1,[  1.35431566e-09   1.00000000e+00]
16086,A,0,4.9,2014-06-21,iPhone,27.3,63.6,2.41,1.22,4.9,5,10,1,[  2.54805277e-15   1.00000000e+00]
